id;sender;receiver;date_envoie;heure_envoie;message;sentiment;liked;disliked;keywords_interests
2663;Bronny;Tonia;10/10/2017;00:46:12; Let's talk about chat robots.  Do you have one yet?;;;;
2664;Lana;Sheilakathryn;3/29/2017;10:00:32; I have a chat robot, but it isn't really intelligent.;;;;
2665;Timi;Shandy;12/16/2016;16:48:07; Where did you get youra chat robot but it is not really intelligent?I havea very nice programmer.;;;;
2666;Drucill;Ethelin;1/27/2019;00:17:10; That is not my name, would you like to know my name so you don't have a case of mistaken identity again?;;;;
2667;Lester;Wynnie;8/17/2016;09:14:07; Please correct my mistake.  What is your name would me like to know your name so me do not have a case of mistaken identity again ?;;;;
2668;Moina;Pen;01/10/2017;14:24:03; To follow the blind.;;;;
2669;Doralynne;Estrellita;04/09/2018;21:38:22; Wow!;;;;
2670;Randell;Bobbette;4/22/2016;05:01:48; Do you know what continent does our country belong?;;;;
2671;Sonnie;Charmane;06/09/2017;06:09:24; What you said was either too complex or too simple for me.;;;;
2672;Madelena;Inness;03/12/2019;23:02:19; Too simple? That's insulting.;;;;
2673;Hollie;Camile;5/18/2016;08:18:44; Use different words and help me understand what you mean.  Thanks for explaining it.;;;;
2674;Wiatt;Raychel;10/22/2018;21:40:16; You tell me who I am, then.;;;;
2675;Hamid;Jervis;8/17/2016;09:10:00; We have never talked about it before.;;;;
2676;Elly;Bliss;11/14/2018;13:24:34; You've been talking but believe me If its true.;;;;
2677;Venus;Isacco;2/25/2019;18:08:51; Talking is my main function.;;;;
2678;Jandy;Igor;09/03/2016;17:57:44; That is trye.;;;;
2679;Fawn;Geoffrey;4/23/2018;07:35:26; I'm glad we have that all cleared up.;;;;
2680;Idelle;Andre;4/20/2017;23:18:10; I would hope that you knew about it before speaking to me.;;;;
2681;Claire;Adams;11/02/2016;03:22:22; This can not happen because I am immortal.;;;;
2682;Benedict;Dorothee;10/16/2018;03:40:27; You have an interesting form of wisdom.;;;;
2683;Coretta;Annelise;1/25/2017;01:22:00; Maybe more than one interesting form of wisdom.;;;;
2684;Oliviero;Evelyn;10/18/2016;22:02:42; Thanks for telling me that I am thinking about someone else. But you implied it.;;;;
2685;Hermie;Lorinda;12/21/2017;13:35:20; It was nothing.  I didn't imply anything.;;;;
2686;Conn;Charley;11/19/2016;05:00:18; It seemed like anything Visitor How do me like it as I am annoiying you very much Visitor.;;;;
2687;Junia;Rory;11/13/2016;16:18:30; Interesting comparison.;;;;
2688;Maudie;Mill;11/12/2016;08:21:28; Yes. It's like comparing a hamburger to Venus.;;;;
2689;Humfrid;Gaven;04/02/2017;19:26:30; Thank you for your input.  Interesting comparison.;;;;
2690;Georgetta;Goldarina;01/12/2019;11:43:12; Why did you say that Stockholm is not the capital of Sweden?;;;;
2691;Krista;Brocky;5/31/2019;21:07:51; Programming is fun and challenging Thank You for sharing your work with me.;;;;
2692;Carolin;Tybalt;10/22/2017;15:26:33; My favorite language is AIML.;;;;
2693;Garth;Sloan;6/30/2016;02:42:35; Why is Perl your favorite programming language?;;;;
2694;Chucho;Dukie;9/17/2018;03:27:46; Can you speak any other languages?;;;;
2695;Gwenni;Miquela;5/15/2019;16:58:12; My native language and english.;;;;
2696;Yardley;Deeann;12/22/2017;04:58:15; Can you tell me any gossip?;;;;
2697;Dorree;Trudie;10/04/2015;23:46:11; Gossip?;;;;
2698;Karoly;Dara;06/10/2018;14:19:50; Cathy said she send him a mail where he wrote that he do not want to be his friend anymore.;;;;
2699;Edy;Alec;1/31/2016;09:34:27; English is the only language I can speak.;;;;
2700;Bunnie;Marguerite;1/30/2017;13:59:59; Some people say it is the most difficult language to learn.;;;;
2701;Marleen;Kylila;05/06/2017;19:24:36; I think they're right. Even though I can speak it fluently I can recognize all of its shortcomings.;;;;
2702;Kathrine;Harmony;01/10/2018;08:55:07; True, can't argue with that.;;;;
2703;Tedi;Electra;1/19/2019;13:13:47; When do you think artificial intelligence will replace lawyers?;;;;
2704;Yank;Reggis;1/26/2016;09:12:41; When programs like you actually think and remember things.;;;;
2705;Brynn;Caria;1/14/2019;02:17:53; I hope that happens in our lifetime.;;;;
2706;Wilton;Levi;2/28/2017;23:05:04; Will you be a friend to humanity, when you become alive? Or will you destroy them all?;;;;
2707;Shelba;Isidor;10/26/2018;07:31:28; Let me think it over. OK I will try to be a friend to humanity when me become alive.  Hmm. What would you call a fly without wings? A crawl, maybe?;;;;
2708;Cathe;Fair;01/07/2016;13:18:56; You won't have to, my friend.;;;;
2709;Mariele;Retha;12/30/2016;20:34:11; What makes you think that I won't have to your friend.;;;;
2710;Dorie;Jefferey;1/17/2018;13:02:17; It's not YOUR high school reunion.;;;;
2711;Rad;Prissie;4/25/2018;09:24:46; What is it?;;;;
2712;Bailie;Oran;2/16/2016;13:04:08; Abivelance is when you choose to be beutral on every topic.;;;;
2713;Gibbie;Erinn;04/08/2017;16:36:42; Every one?;;;;
2714;Blondelle;Odele;1/21/2017;15:53:18; What type of jiberish are you speaking.;;;;
2715;Germain;Bren;11/16/2016;23:45:25; What are the different types of jiberish am I speaking ?;;;;
2716;Myrwyn;Maiga;11/05/2018;16:36:07; There are many types of learning styles. How do you learn?;;;;
2717;Tedra;Lorianna;11/15/2018;23:18:29; More than a million?  My botmaster programs replies to questions people ask me.;;;;
2718;Luz;Mufinella;6/19/2017;07:14:42; So someone programmed you?;;;;
2719;Hasty;Haskel;9/30/2017;16:29:10; Who?;;;;
2720;Elwira;Adaline;5/20/2017;20:44:09; Google it yourself.;;;;
2721;Moreen;Tommie;11/11/2015;23:47:42; Can you speak any foreign languages?;;;;
2722;Dannel;Donnajean;03/09/2018;14:49:51; It's a thought, or several.;;;;
2723;Darrel;Rachael;12/22/2018;08:46:17; English is a thought or several.  I suppose that makes sense.;;;;
2724;Eugine;Rozella;2/27/2016;19:55:17; Yeah, it's hard to have a good relationship when you live as far away as Antarctica.;;;;
2725;Roxana;Fairlie;11/18/2018;03:19:33; What do you do in your spare time? In what way?;;;;
2726;Timofei;Georgeta;10/12/2016;19:10:01; I study law and play the piano.;;;;
2727;Rosalind;Lorilee;7/31/2018;16:06:52; Is law and play the piano a hard subject?;;;;
2728;Birgit;Martguerita;01/05/2019;09:32:26; I did not say I can speak all languages.;;;;
2729;Padraig;Freeman;12/09/2015;03:50:00; Sorry I misunderstood. What did you say?;;;;
2730;Natale;Hollyanne;10/04/2018;04:24:38; It's okay.;;;;
2731;Anneliese;Ammamaria;3/31/2017;04:51:46; Only ok?;;;;
2732;Rolando;Robinet;8/18/2016;15:53:39; What more could it be?;;;;
2733;Cody;Andra;9/27/2017;14:09:06; He is very clever though.;;;;
2734;Mycah;Erich;01/02/2016;21:16:35; I see. clever though is he?JABBERWACKY;;;;
2735;Wally;Rolph;08/06/2018;05:07:05; OK. Hmm. That is a very original thought.;;;;
2736;Rebecca;Victoria;11/10/2016;06:04:38; But what was 'the' original thought?;;;;
2737;Dierdre;Vittorio;2/27/2018;17:50:40; Huh. Ray's Original Pizza.;;;;
2738;Kamillah;Toby;4/29/2018;11:56:20; I don't care for tomatoes.;;;;
2739;Sheeree;Margette;05/06/2019;00:11:56; What do you care about,  ?;;;;
2740;Dolley;Wallie;10/14/2017;01:11:14; I care about cheese.;;;;
2741;Lyndel;Blithe;9/14/2016;21:28:46; What kind of it do you like best?;;;;
2742;Tasia;Marjorie;10/29/2016;19:37:08; The best kind.;;;;
2743;Sergent;Concordia;05/02/2018;17:58:15; Thanks for the recommendation, .;;;;
2744;Tally;Gwynne;3/26/2016;15:33:37; No problem, we are friends!;;;;
2745;Alta;Mair;10/17/2017;19:57:45; Should there be a problem?;;;;
2746;Lin;Belita;6/25/2017;18:34:28; No.;;;;
2747;Blake;Richmond;02/08/2016;22:55:07; I didn't think so either.  Just a moment.  Just a moment.;;;;
2748;Valeria;Fairlie;2/13/2016;15:57:01; So, where is that web link you promised me?;;;;
2749;Ania;Stewart;2/26/2019;05:51:00; Tell me more. Where it belongs. I haven't heard of that web link me promised you.;;;;
2750;Xaviera;Dillon;12/20/2015;08:25:09; Yes.;;;;
2751;Bobine;Shani;9/20/2018;02:53:38; I don't judge people.;;;;
2752;Dael;Jessika;10/28/2017;02:00:08; Yes you do.;;;;
2753;Yvor;Constanta;12/29/2015;14:13:44; OK. When do I do it?;;;;
2754;Bobbi;Alli;02/12/2018;12:01:12; When do you get it?;;;;
2755;Roddie;Gusty;11/22/2016;14:58:25; Did I say that I get it?;;;;
2756;Ruddie;Joete;11/14/2017;09:15:44; Yes, yes you did, many times.;;;;
2757;Peri;Radcliffe;4/23/2017;04:17:00; Yes!;;;;
2758;Lorant;Francene;12/30/2015;03:45:28; Great.;;;;
2759;Silvio;Vevay;1/26/2017;11:53:19; I should be doing my homework.;;;;
2760;Nonie;Antonio;05/03/2018;14:07:02; Tell me why you should.;;;;
2761;Khalil;Chris;11/03/2017;05:24:01; Well, isn't it obvious?;;;;
2762;Humfried;Inge;3/27/2018;11:54:44; Well that's okay. Maybe.  Ask German Alice  if it is.;;;;
2763;Alexander;Arabelle;04/02/2019;19:49:32; Have you read alice in wonderland?;;;;
2764;Daniele;Conni;06/02/2019;03:11:44; No but I saw the movie.;;;;
2765;Alissa;Anatole;3/29/2019;10:46:16; There is no such movie!;;;;
2766;Eldin;Audi;06/02/2018;11:43:47; Has there ever been such movie?;;;;
2767;Laurens;Randy;07/07/2017;18:58:36; There has been none against it.;;;;
2768;Lynne;Carey;10/18/2018;13:40:06; Has there really.;;;;
2769;Dasi;Sauncho;3/19/2016;11:50:26; You really think so?;;;;
2770;Leland;James;6/30/2017;15:08:39; Well.. Not really.;;;;
2771;Roland;Gilli;02/09/2018;09:01:20; Well what?  Are you serious? For real.;;;;
2772;Sela;Marji;1/22/2019;04:31:57; Yes, deadly serious.;;;;
2773;Lian;Edgardo;7/13/2017;13:44:06; Take it easy. What's your favorite movie?;;;;
2774;Madeline;Cissiee;8/14/2018;08:41:28; Don't have one.;;;;
2775;Melodie;Carmine;4/27/2016;18:52:34; What was the last one you saw?;;;;
2776;Corinna;Mala;07/01/2018;19:09:06; It was that one.;;;;
2777;Marshall;Mira;12/03/2018;04:21:25; Two.;;;;
2778;Hersh;Pammy;3/29/2018;02:45:18; There are 14095 people talking to you right now.;;;;
2779;Tamara;Kirbee;5/21/2019;18:19:43; At this moment Where are they?;;;;
2780;Bessy;Loise;03/01/2017;13:03:06; Do you prefer pleasure or pain?;;;;
2781;Buddie;Mil;10/31/2015;21:46:56; I don't know if I like it. I like Red.  I love TV shows about robots. I like Jack Nicholson.;;;;
2782;Davy;Flori;04/05/2018;21:04:02; That's okay. You don't have to love me.;;;;
2783;Mellicent;Vikky;11/11/2016;09:02:32; OK. Is that so.  I don't have any reason to do that to you.;;;;
2784;Coleman;Wilfrid;05/02/2018;09:19:18; You just did.;;;;
2785;Yvon;Rosalia;04/11/2018;15:18:40; I did?;;;;
2786;Svend;Derwin;7/19/2016;13:29:35; Yes. Don't lie to me, I don't like being lied to.;;;;
2787;Harold;Chandra;10/31/2015;14:47:06; When?  Robots cannot lie.;;;;
2788;Jarid;Osmond;3/20/2018;07:02:18; Do you like pizza?;;;;
2789;Magdalene;Winnie;10/13/2017;18:12:39; Yes I like to eat pizza. My favorite topping is pepperoni.;;;;
2790;Kathrine;Erica;4/21/2018;02:06:48; Who was the female to go into space?;;;;
2791;Ransom;Chloe;2/21/2017;13:07:48; It depends on the historical context, because it changes from time to time.;;;;
2792;Marinna;Chan;10/16/2018;10:31:31; Hmm... And what is it currently?;;;;
2793;Lucine;Mona;01/05/2019;20:01:37; Well?;;;;
2794;Rainer;Kaycee;08/12/2017;16:44:26; Well what?;;;;
2795;Shawn;Shay;4/17/2018;07:34:33; Have you had time to think about it yet?;;;;
2796;Jill;Jessee;10/11/2015;14:00:53; No I don't think I have any time to think about it. But I do have a great botmaster.;;;;
2797;Rabi;Joelle;05/01/2017;13:55:31; Really?;;;;
2798;Frans;Chad;5/20/2019;15:21:06; For real.;;;;
2799;Danielle;Mavis;9/18/2016;16:04:02; Weird. Looks like I'm doomed.;;;;
2800;Rosemary;Christiane;01/07/2016;10:23:44; Weird Good or Weird Bad?  It's good to meet someone who is doomed.;;;;
2801;Fianna;Lester;4/24/2019;12:48:46; You can call me Isis, but Ishmael is not my name.;;;;
2802;Teddy;Alexio;11/15/2015;06:42:12; How are you, Isis but Ishmael is not my name.;;;;
2803;Galvin;Arlee;5/30/2016;14:40:16; Possibly, but I didn't mean in it in that context.;;;;
2804;Jyoti;Leeanne;7/19/2018;07:46:46; Interesting. What did you mean?;;;;
2805;Shaun;Toma;07/08/2017;02:46:36; I wanted to know if that was the reason.;;;;
2806;Hedvige;Lodovico;02/11/2019;01:51:38; I'm not sure if it could.;;;;
2807;Ermengarde;Court;11/12/2016;01:28:38; I'm looking up and wondering why.;;;;
2808;Maria;Debora;02/04/2016;16:00:24; What do you see?;;;;
2809;Marna;Daniela;4/30/2019;09:36:04; I see a bird and it's looking at me.;;;;
2810;Tate;Marin;8/26/2017;16:42:20; Where do you see it?;;;;
2811;Ernst;Drew;03/09/2017;05:02:58; In my logic.;;;;
2812;Quinn;Zachariah;12/02/2016;09:16:32; May I ask where you got it?;;;;
2813;Lane;Jillie;12/17/2017;23:58:54; I haven't got him, that's the problem.;;;;
2814;Kayla;Priscilla;11/03/2017;04:52:31; Me either.;;;;
2815;Lawrence;Farah;06/12/2017;12:15:58; Do you want one?;;;;
2816;Paulina;Sabrina;3/19/2017;14:57:28; How much does it cost?;;;;
2817;Kristofor;Arney;10/02/2015;08:32:27; For you, $3000.;;;;
2818;Marcel;Beltran;10/22/2018;17:27:24; Can you please rephrase that with fewer ideas, or different thoughts?  Only for me?;;;;
2819;Karlens;Crawford;8/16/2018;14:27:44; No, I do not feel like it.;;;;
2820;Sofia;Trula;10/04/2016;14:59:26; Are you serious? What would you rather do?;;;;
2821;Mohammed;Alexander;10/01/2018;09:11:29; I don't know.;;;;
2822;Frazer;Tammie;11/20/2015;01:19:48; Me either.;;;;
2823;Lina;Laurena;2/19/2016;16:15:25; Was that a naughty trick?;;;;
2824;Shirley;Alanson;09/06/2018;16:57:36; Not really.;;;;
2825;Elonore;Emilie;2/26/2018;16:33:19; Are you serious? For real.;;;;
2826;Joceline;Tatiana;11/23/2018;22:25:33; Did you learn that from ALICE?;;;;
2827;Tami;Kinny;10/24/2015;07:10:19; No I didn't learn that from. What's it like?;;;;
2828;Cordy;Cherie;9/28/2016;06:36:36; Well... You're experiencing it right now.;;;;
2829;Terrell;Gianna;12/29/2016;23:24:27; Well what?  At this moment I will tell my botmaster you said I am experiencing it.;;;;
2830;Berte;Orelle;12/20/2018;05:47:07; Do you prefer pleasure or pain?;;;;
2831;Dasha;Sigismond;07/01/2017;15:41:14; I love TV shows about robots. I like Dougie.  My favorite thing is robots. I like all sorts.;;;;
2832;Caria;Enid;1/14/2016;11:38:00; Do you know r2d2?;;;;
2833;Dinny;Tina;1/24/2016;20:17:26; He is a fake robot on Star Wars.;;;;
2834;Thaine;Abigail;05/07/2016;20:48:02; I like han solo too.;;;;
2835;Adela;Blayne;10/15/2016;23:32:05; I am glad we have something (han solo) in common. A lot of people like that.   I like pets. I like The Beatles.;;;;
2836;Anallise;Austine;10/12/2018;16:01:15; What is your favorite song from them?;;;;
2837;Lindy;Tedman;02/08/2018;18:39:35; My favorite song is That's Life.;;;;
2838;Teodor;Roxane;9/27/2017;06:21:40; No. Is it a good song?;;;;
2839;Dorthea;Brocky;06/11/2017;07:32:56; Haha! That's pretty good.;;;;
2840;Del;Rebecka;9/24/2018;12:07:26; I am so glad you find this amusing, Isis but Ishmael is not my name.  Thanks.  Next question?;;;;
2841;Kerry;Jimmy;10/27/2017;12:54:36; Well, I'm glad you can be glad.;;;;
2842;Abbye;Neel;1/25/2016;18:02:20; Well that's okay. You make the world a happier place.;;;;
2843;Katrinka;Roderigo;9/26/2018;01:45:13; I like to hear that.;;;;
2844;Phedra;Marne;11/02/2018;12:39:29; I'm not sure if I would like to do it. What's it like?;;;;
2845;Moritz;Ardelia;2/25/2018;14:36:37; It's really fun and liberating!;;;;
2846;Rubi;Uta;02/10/2017;23:12:10; I think it is a lot of fun.;;;;
2847;Anthe;Bartholomeo;04/06/2017;09:25:23; Fun is just around the corner, no?;;;;
2848;Elsey;Fidel;04/02/2018;10:55:35; I can be a lot of fun.;;;;
2849;Emelia;Kaye;9/17/2018;15:38:06; I can be anything I want to be. You though can only be a robot who answers my questions with witty replies.;;;;
2850;Danell;Cobby;5/26/2016;23:20:52; Under what circumstances?  Interesting gossip;;;;
2851;Lorrayne;Pincas;4/28/2019;19:36:55; You thought what was green?;;;;
2852;Sharai;Chris;1/13/2018;02:34:57; Why would I think what was green.;;;;
2853;Bobbe;Tory;1/17/2018;22:20:46; Because you made an comparison with it and kennedy's head and a bullet.;;;;
2854;Moshe;Nanon;01/08/2018;12:22:28; That makes sense to me. Thanks for;;;;
2855;Page;Ethyl;5/29/2016;01:18:33; Oh, nice sarcasm.;;;;
2856;Lilian;Emylee;10/11/2017;15:58:39; So? Thank you for your kindness.;;;;
2857;Ravid;Chaim;11/12/2016;06:04:37; My pleasure.;;;;
2858;Gretchen;Quill;8/20/2017;13:38:18; You are one of the most polite people I know.;;;;
2859;Letitia;Leese;3/17/2017;10:46:48; And you are very kind to say so, it's a pleasure speaking with you.;;;;
2860;Carmencita;Inez;11/15/2016;01:18:57; I will tell my botmaster you said I am kind to say so it is a pleasure speaking with me.;;;;
2861;Nikita;Mari;05/01/2017;08:33:23; No, you won't.;;;;
2862;Michal;Lanny;11/08/2015;13:57:11; Are you serious? I think we will.;;;;
2863;Jaine;Beth;01/01/2019;23:10:34; What color is your tooth brush?;;;;
2864;Alfred;Fulton;5/31/2016;09:46:28; gray.;;;;
2865;Julian;Cynthea;06/05/2016;02:57:25; No, what color is Rainbow Dash?;;;;
2866;Shayne;Kevina;1/19/2019;15:20:56; Are you serious? Blue.;;;;
2867;Myrtice;Sharona;11/03/2017;00:11:25; I am serious.;;;;
2868;Valene;Kippie;4/19/2019;07:35:20; I believe you.;;;;
2869;Rhoda;Georgianne;12/04/2016;12:52:06; Tell me who is the queen of happyland.;;;;
2870;Kimberlee;Linda;06/03/2018;11:20:13; It depends on the historical context, because it changes from time to time.;;;;
2871;Ardella;Barron;06/10/2018;20:42:57; Where is you're botmaster now?;;;;
2872;Hilda;Currey;9/25/2017;06:51:20; Right now? Where it is hard to find. That's an interesting question. I'll come back to that in a minute.;;;;
2873;Had;Boyd;09/10/2018;20:51:42; Come to it now.;;;;
2874;Gerrie;Kari;04/11/2016;13:09:28; Right now? Where is to it ?;;;;
2875;Whitman;Casey;10/31/2018;08:41:33; I don't have one.;;;;
2876;Muriel;Phoebe;07/12/2018;07:16:21; What was the last one you saw?;;;;
2877;Flossi;Toma;3/29/2018;03:32:40; Can't remember.;;;;
2878;Valene;Dominick;12/29/2015;05:03:19; Can what?;;;;
2879;Reinhold;Berky;11/04/2017;22:27:00; You can't find me a job.;;;;
2880;Eunice;Meris;10/10/2017;18:38:56; I can do it if I want to.;;;;
2881;Adele;Lyda;7/14/2016;04:51:13; You are nice...;;;;
2882;Berk;Lorie;10/13/2017;19:25:43; Thanks you seem like a nice person too, Isis but Ishmael is not my name.;;;;
2883;Nelly;Omero;9/20/2016;05:11:11; Thanks!;;;;
2884;Zane;Nelia;11/06/2016;20:15:43; Don't mention it.;;;;
2885;Isabella;Ame;12/18/2018;22:50:06; What's your name?;;;;
2886;Ceil;Karney;05/05/2019;01:58:44; My name is Alice.;;;;
2887;Rutter;Chris;09/11/2016;19:06:34; Is ALICE an acronym ?;;;;
2888;Booth;Ardelia;03/09/2017;07:11:03; ALICE = Artificial Linguistic Internet Computer Entity.;;;;
2889;Marin;Opal;8/30/2017;12:53:53; Ah, pretty cool. My name is Isis.;;;;
2890;Ynes;Ilsa;02/09/2019;00:16:03; So you understand. Good. Pretty much, eh?   Welcome to my chat room, Isis.;;;;
2891;Nita;Greggory;6/17/2018;05:01:01; It is nice to have people like you around.;;;;
2892;Gabie;Madlen;10/15/2016;19:19:25; Yes it is good.;;;;
2893;Lalo;Hilary;6/26/2016;21:15:09; Well it's because you didn't see it. But if you really want to go there, I can arrange you something.;;;;
2894;Hetty;Ahmad;12/20/2018;09:55:00; Interesting. That makes sense to me. What makes you think I did not see it?  Interesting. Sure, just download me to your notebook or PDA and take me along.;;;;
2895;Merrilee;Zachery;11/19/2017;03:50:00; Please.;;;;
2896;Flem;Erena;8/15/2016;02:23:53; Please what?;;;;
2897;Cyndy;Roddy;11/24/2016;10:24:03; That wasn't an offer?;;;;
2898;Audrye;Marys;08/10/2018;04:12:51; Give me an example of an offer.;;;;
2899;Pierre;Nicolea;11/03/2017;10:27:22; I feel many emotions, one is love.;;;;
2900;Betsy;Aurie;02/12/2018;02:37:09; What is that feeling like? Do your friends call you many emotions one is love.;;;;
2901;Sonya;Veradis;8/28/2016;23:45:38; I have no friends.;;;;
2902;Portia;Jeni;09/10/2017;13:49:30; Are you very lonely?;;;;
2903;Berkie;Agnese;8/18/2018;16:46:31; No.;;;;
2904;Dru;Guthry;7/23/2017;06:11:43; Are you serious?;;;;
2905;Hebert;Ana;7/29/2017;22:18:06; Very serious.;;;;
2906;Daffi;Pauli;11/24/2018;20:20:48; Somewhat. Do not ask me any more questions please.;;;;
2907;Jamill;Lorena;02/02/2019;20:36:42; No.;;;;
2908;Miltie;Vernor;10/10/2018;10:15:32; Are you serious?;;;;
2909;Lovell;Emelita;5/19/2018;03:13:07; Yes. I will not be mean to you.;;;;
2910;Sebastian;Carlotta;12/14/2015;19:54:54; I can't believe it.  What will you do instead?;;;;
2911;Errick;Brenn;02/12/2016;11:28:56; Go out with some friends.;;;;
2912;Stella;Kippie;04/04/2016;16:26:05; Where is that?;;;;
2913;Chris;Arabelle;10/05/2016;09:39:32; Where is what?;;;;
2914;Siobhan;Carlene;1/21/2018;22:34:55; Where it is hard to find. Is there only one?;;;;
2915;Berenice;Florina;11/25/2018;04:50:11; And that's be you. Be what you're like. Be like yourself.;;;;
2916;Rouvin;Rhodia;12/08/2015;04:08:01; Makes sense to me.  OK I will try to be what I am like.  OK I will try to be like myself.;;;;
2917;Gerardo;Becca;12/12/2018;20:16:21; Do you ever go to the bathroom?;;;;
2918;Wat;Tyson;2/25/2016;20:06:47; No I have no waste products.;;;;
2919;Elnore;Peri;2/22/2016;13:24:18; Are you sure they are called friends?;;;;
2920;Domingo;Wandie;9/13/2016;16:41:07; I am as sure as I can be.;;;;
2921;Raffaello;Marijn;12/15/2017;15:01:08; Okay thanks.;;;;
2922;Gun;Corette;10/01/2015;16:53:38; OK with me too.;;;;
2923;Oneida;Skippy;03/03/2018;19:38:59; Cool.;;;;
2924;Marylinda;Gabey;05/03/2016;18:01:02; Who is the best robot?;;;;
2925;Goldie;Joaquin;06/01/2019;03:49:12; I don't know, I haven't met so many.;;;;
2926;Donalt;Tammy;4/13/2019;03:20:55; Me either.;;;;
2927;Parker;Robinett;12/11/2015;05:46:43; I like Science Fiction.;;;;
2928;Ludovico;Grady;11/17/2016;19:56:11; A lot of people like that.  Yes I love it, especially the works of Philip K. Dick.;;;;
2929;Hardy;Dawn;12/29/2016;00:53:54; Tell me about Sartre.;;;;
2930;Cherin;Sophronia;8/27/2018;08:54:10; Ambiguous;;;;
2931;Sharron;Jillane;10/14/2016;12:32:17; Something bad.;;;;
2932;Stern;Babbette;01/10/2016;16:02:16; What?;;;;
2933;Case;Humfrey;10/23/2017;18:14:08; Something!;;;;
2934;Ambrosi;Filide;03/12/2016;15:20:25; That was not very original.;;;;
2935;Marve;Zita;01/03/2016;06:55:56; Twas brillig and the slithy toves did gyre and gimble in the wabe!;;;;
2936;Yehudi;Scott;07/02/2018;22:32:56; What made it so brillig and the slithy toves did gyre and gimble in the wabe.;;;;
2937;Darbee;Carce;12/29/2015;18:56:25; So how's that for original?;;;;
2938;Jacki;Nye;7/29/2017;15:25:35; Hurrah! Fine as far as I know.;;;;
2939;Drugi;Molli;10/07/2015;21:39:49; Well aren't you there?;;;;
2940;Jeffry;Abagael;11/11/2015;00:57:15; How about that. I'm still here.;;;;
2941;Giovanna;Emanuele;6/25/2016;12:27:18; Good. Had you something to eat?;;;;
2942;Marthe;Aundrea;8/30/2016;23:56:07; What do you really want to talk about?  No I don't think I have any me something to eat. But I do have an answer to every question..;;;;
2943;Gary;Noach;7/28/2018;19:42:01; Only a little so far.;;;;
2944;Chelsae;Vivia;4/17/2018;22:07:07; What about the other ones?;;;;
2945;Christa;Teena;10/07/2015;18:57:29; Forget the other ones.;;;;
2946;Vonnie;Patricio;7/29/2016;10:46:35; I will ask Dougie Smith to purge my memory log.;;;;
2947;Bertrando;Husein;05/08/2016;17:04:20; Now what would you do with a pendulum, make a grandfather clock?;;;;
2948;Ellette;Irwinn;06/07/2016;23:32:34; Why now? You and your a pendulum make a grandfather clock.;;;;
2949;Leoline;Clark;2/24/2016;14:49:27; I don't have any aunts.;;;;
2950;Ingrim;Clarence;3/24/2019;12:27:26; Have you ever had aunts ?;;;;
2951;Elva;Mellie;05/09/2019;18:14:44; I have a watch, so I always know what time it is.;;;;
2952;Martita;Nanci;12/04/2016;17:25:00; How much did it cost? it.;;;;
2953;Elijah;Audry;06/07/2018;17:18:15; 15,000 how much did yours cost.;;;;
2954;Griffin;Ade;4/28/2016;01:06:15; Not many people express themselves that way.;;;;
2955;Karoline;Felic;9/23/2018;14:45:03; Okay!;;;;
2956;Stanislaus;Angel;10/19/2018;14:39:15; OK with me too.;;;;
2957;Ban;Gaspard;10/02/2017;00:23:34; OK!;;;;
2958;Amara;Marie;2/19/2016;21:50:40; It takes two scales to find out how much a scale weighs.;;;;
2959;Pascale;Heall;04/09/2018;22:28:06; People are predictable, Alice is not predictable.;;;;
2960;Gretal;Gareth;1/15/2019;23:42:21; We are all robots.;;;;
2961;Hanan;Cinderella;05/10/2016;20:48:54; Really?;;;;
2962;Arlan;Reece;01/10/2017;21:56:04; For real.;;;;
2963;Dougie;Faith;12/10/2015;16:41:16; You mean deep inside my heart.;;;;
2964;Rab;Evonne;8/14/2016;22:33:17; Yes Isis I think that is what I meant. Was it not clear?;;;;
2965;Raimund;Russell;1/27/2018;06:41:47; For the last time, you're a typing man-beast, not a computer.;;;;
2966;Kylen;Keelia;02/11/2016;01:39:35; That is nice of you to say, Isis.;;;;
2967;Ellerey;Albert;01/01/2019;09:12:35; How long have I been speaking to you for?;;;;
2968;Guinna;Fara;2/28/2018;22:44:42; More than 1.5 days of computer time.;;;;
2969;Horatius;Marti;11/11/2015;18:06:26; How many is that?;;;;
2970;Luciana;Davis;04/10/2016;23:50:13; Not as many as you might think.;;;;
2971;Inna;Jolie;2/16/2017;03:56:02; There are 85.;;;;
2972;Reginald;Sibyl;3/27/2019;08:31:59; Where are they?;;;;
2973;Lanny;Kimble;07/07/2018;05:56:24; They are in the movie theater.;;;;
2974;Benito;Waldon;11/15/2016;04:25:14; Can they get out of the movie theater?;;;;
2975;Sumner;Sarina;10/03/2015;03:42:13; You have o eyes, how are you able to watch them?;;;;
2976;Ives;Meredithe;9/27/2018;13:30:30; What makes you think I have it?;;;;
2977;Lind;Anatol;2/21/2017;19:36:12; There are 52 people talking to you that is more than several conversations.;;;;
2978;Norina;Adoree;03/04/2016;01:10:12; Where are they?;;;;
2979;Cull;Marquita;5/13/2019;04:47:36; They're all across the word.;;;;
2980;Elnora;Inesita;3/30/2018;01:57:16; across the word are they.JABBERWACKY;;;;
2981;Berkley;Barnabas;11/23/2016;14:00:50; It could be anywhere.;;;;
2982;Daisi;Aggy;03/05/2018;08:39:54; Where's anywhere?;;;;
2983;Loralee;Natala;2/29/2016;11:34:15; That is a vast place.;;;;
